case_id,scenario,profile,snr_db,mod_a,mod_b,freq_step_hz,has_change,triggered,valid_detection,false_alarm,miss,late_detection,latency_ms,trigger_score,trigger_reason
212,no_change,board_like_normal,20.0,FM,FM,0.0,False,False,False,False,False,False,nan,0,0
213,no_change,board_like_normal,20.0,ASK,ASK,0.0,False,True,False,True,False,False,-8.0,2,6
214,no_change,board_like_normal,20.0,FSK,FSK,0.0,False,False,False,False,False,False,nan,0,0
215,no_change,board_like_normal,20.0,PSK,PSK,0.0,False,False,False,False,False,False,nan,0,0
216,mod_switch_same_freq,board_like_normal,20.0,AM,FM,0.0,True,True,True,False,False,False,4.0,3,28
217,freq_mod_switch,board_like_normal,20.0,AM,FM,10000.0,True,True,True,False,False,False,4.0,5,29
218,freq_mod_switch,board_like_normal,20.0,AM,FM,-10000.0,True,True,True,False,False,False,4.0,5,29
219,freq_mod_switch,board_like_normal,20.0,AM,FM,20000.0,True,True,True,False,False,False,4.0,5,29
220,freq_mod_switch,board_like_normal,20.0,AM,FM,50000.0,True,True,True,False,False,False,4.0,5,29
221,mod_switch_same_freq,board_like_normal,20.0,AM,ASK,0.0,True,True,True,False,False,False,4.0,2,6
222,freq_mod_switch,board_like_normal,20.0,AM,ASK,10000.0,True,True,True,False,False,False,4.0,4,7
223,freq_mod_switch,board_like_normal,20.0,AM,ASK,-10000.0,True,True,True,False,False,False,4.0,4,7
224,freq_mod_switch,board_like_normal,20.0,AM,ASK,20000.0,True,True,True,False,False,False,4.0,4,7
225,freq_mod_switch,board_like_normal,20.0,AM,ASK,50000.0,True,True,True,False,False,False,4.0,4,7
226,mod_switch_same_freq,board_like_normal,20.0,AM,FSK,0.0,True,True,True,False,False,False,4.0,3,5
227,freq_mod_switch,board_like_normal,20.0,AM,FSK,10000.0,True,True,True,False,False,False,4.0,4,13
228,freq_mod_switch,board_like_normal,20.0,AM,FSK,-10000.0,True,True,True,False,False,False,4.0,3,5
229,freq_mod_switch,board_like_normal,20.0,AM,FSK,20000.0,True,True,True,False,False,False,4.0,3,5
230,freq_mod_switch,board_like_normal,20.0,AM,FSK,50000.0,True,True,True,False,False,False,4.0,3,5
231,mod_switch_same_freq,board_like_normal,20.0,AM,PSK,0.0,True,True,True,False,False,False,4.0,2,20
232,freq_mod_switch,board_like_normal,20.0,AM,PSK,10000.0,True,True,True,False,False,False,4.0,3,5
233,freq_mod_switch,board_like_normal,20.0,AM,PSK,-10000.0,True,True,True,False,False,False,4.0,3,5
234,freq_mod_switch,board_like_normal,20.0,AM,PSK,20000.0,True,True,True,False,False,False,4.0,4,21
235,freq_mod_switch,board_like_normal,20.0,AM,PSK,50000.0,True,True,True,False,False,False,4.0,3,5
236,mod_switch_same_freq,board_like_normal,20.0,FM,AM,0.0,True,True,True,False,False,False,4.0,3,28
237,freq_mod_switch,board_like_normal,20.0,FM,AM,10000.0,True,True,True,False,False,False,4.0,3,28
238,freq_mod_switch,board_like_normal,20.0,FM,AM,-10000.0,True,True,True,False,False,False,4.0,3,28
239,freq_mod_switch,board_like_normal,20.0,FM,AM,20000.0,True,True,True,False,False,False,4.0,3,28
240,freq_mod_switch,board_like_normal,20.0,FM,AM,50000.0,True,True,True,False,False,False,4.0,3,28
241,mod_switch_same_freq,board_like_normal,20.0,FM,ASK,0.0,True,True,True,False,False,False,4.0,4,30
242,freq_mod_switch,board_like_normal,20.0,FM,ASK,10000.0,True,True,True,False,False,False,4.0,4,30
243,freq_mod_switch,board_like_normal,20.0,FM,ASK,-10000.0,True,True,True,False,False,False,4.0,4,30
244,freq_mod_switch,board_like_normal,20.0,FM,ASK,20000.0,True,True,True,False,False,False,4.0,4,30
245,freq_mod_switch,board_like_normal,20.0,FM,ASK,50000.0,True,True,True,False,False,False,4.0,4,30
246,mod_switch_same_freq,board_like_normal,20.0,FM,FSK,0.0,True,True,True,False,False,False,4.0,2,24
247,freq_mod_switch,board_like_normal,20.0,FM,FSK,10000.0,True,True,True,False,False,False,4.0,2,24
248,freq_mod_switch,board_like_normal,20.0,FM,FSK,-10000.0,True,True,True,False,False,False,5.999999999999998,2,24
249,freq_mod_switch,board_like_normal,20.0,FM,FSK,20000.0,True,True,True,False,False,False,5.999999999999998,2,24
250,freq_mod_switch,board_like_normal,20.0,FM,FSK,50000.0,True,True,True,False,False,False,4.0,2,24
251,mod_switch_same_freq,board_like_normal,20.0,FM,PSK,0.0,True,False,False,False,True,False,nan,0,0
252,freq_mod_switch,board_like_normal,20.0,FM,PSK,10000.0,True,True,True,False,False,False,5.999999999999998,2,24
253,freq_mod_switch,board_like_normal,20.0,FM,PSK,-10000.0,True,True,True,False,False,False,5.999999999999998,2,24
254,freq_mod_switch,board_like_normal,20.0,FM,PSK,20000.0,True,False,False,False,True,False,nan,0,0
255,freq_mod_switch,board_like_normal,20.0,FM,PSK,50000.0,True,True,True,False,False,False,5.999999999999998,2,24
256,mod_switch_same_freq,board_like_normal,20.0,ASK,AM,0.0,True,True,False,True,False,False,-8.0,2,6
257,freq_mod_switch,board_like_normal,20.0,ASK,AM,10000.0,True,True,False,True,False,False,-8.0,2,6
258,freq_mod_switch,board_like_normal,20.0,ASK,AM,-10000.0,True,True,False,True,False,False,-8.0,2,6
259,freq_mod_switch,board_like_normal,20.0,ASK,AM,20000.0,True,True,False,True,False,False,-8.0,2,6
